IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
198.41.208.224,38,193,97,0
104.17.195.146,39,193,119,0
104.17.190.120,38,195,122,0
104.17.200.212,39,196,128,0
104.17.186.136,39,194,132,0
104.17.217.9,38,199,133,0
104.18.163.171,39,197,138,0
172.64.149.76,38,225,153,0
198.41.200.228,40,248,188,0
198.41.196.89,40,225,193,0
104.31.16.165,38,226,199,0
104.25.244.209,38,40,39,10
198.41.209.207,37,191,114,10
104.18.170.170,37,196,116,10
104.18.185.162,37,206,122,10
104.17.173.10,38,195,130,10
104.17.221.236,39,195,135,10
104.19.147.120,40,224,138,10
104.17.171.109,40,208,144,10
104.18.232.121,38,194,149,10
104.17.137.207,38,207,157,10
104.16.255.81,42,206,165,10
104.19.194.118,39,225,169,10
104.16.1.117,39,220,172,10
104.19.204.145,39,225,181,10
104.19.196.218,40,226,192,10
162.159.245.106,134,240,193,10
162.159.36.20,38,226,194,10
162.251.82.230,136,225,204,10
172.64.35.49,165,225,207,10
104.25.249.172,38,43,40,20
104.18.237.134,38,193,77,20
141.101.115.40,39,174,84,20
104.18.75.76,37,214,99,20
104.19.146.113,37,195,108,20
104.17.135.211,38,193,111,20
104.18.80.149,37,194,112,20
104.18.153.154,39,194,125,20
104.17.184.254,39,195,126,20
104.18.66.35,37,220,126,20
104.17.111.187,38,212,132,20
104.18.72.47,37,213,133,20
104.16.13.51,38,217,137,20
104.16.253.10,38,193,138,20
104.16.251.97,38,196,142,20
104.17.52.82,40,195,147,20
104.18.77.181,37,215,151,20
104.17.201.237,39,219,154,20
104.17.138.59,38,197,162,20
108.162.195.130,40,226,175,20
104.18.151.135,164,200,183,20
104.18.181.181,40,233,193,20
104.18.59.131,175,226,208,20
198.41.201.245,186,226,211,20
104.25.243.62,37,40,39,30
104.25.248.69,38,40,39,30
104.25.246.47,37,41,39,30
104.18.234.255,38,196,115,30
104.17.107.144,38,190,117,30
104.18.82.228,39,193,118,30
104.18.68.137,37,217,127,30
104.18.182.70,39,213,130,30
104.17.61.197,37,194,137,30
104.18.164.22,40,196,144,30
104.17.97.235,40,195,158,30
104.17.106.158,39,215,165,30
104.18.84.239,38,210,165,30
104.18.88.117,65,195,166,30
104.17.54.203,134,196,179,30
104.18.178.189,39,220,187,30
104.19.206.219,38,226,193,30
104.18.191.220,154,216,197,30
104.25.242.1,37,39,38,40
104.25.253.207,38,44,39,40
104.17.188.154,40,199,124,40
104.18.147.89,39,189,128,40
104.16.252.212,39,194,134,40
104.19.218.218,38,194,136,40
104.17.110.79,40,195,138,40
104.17.105.128,39,222,145,40
104.17.179.212,38,202,154,40
104.16.5.207,38,218,155,40
190.93.246.76,39,193,157,40
104.25.255.241,36,40,38,50
104.25.241.28,38,40,39,50
104.25.254.76,38,40,39,50
104.25.245.175,38,41,40,50
104.16.250.40,37,193,70,50
104.17.161.117,39,167,115,50
104.16.7.180,39,200,124,50
172.64.49.177,37,226,140,50
104.16.2.169,39,220,146,50
162.159.35.110,38,217,173,50
104.25.251.238,39,41,40,60
162.159.42.220,39,213,86,60
104.18.50.172,39,215,126,60
104.25.252.65,38,39,38,80
